ID,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
1088206,2013-09-01,present,programmer analyst,Pune,m,1990-06-21,77.0,state board,2008,75.0,state board,13424,2,B.Tech/B.E.,electronics & telecommunications,62.0,13424,0,Maharashtra,2013,675,630,485,0.207392169717661,405,260,-1,-1,-1,-1,-1,1.7081,0.5454,0.9322,-0.4879,0.8637,335000
1279958,2013-07-01,present,java software engineer,Bangalore,m,1992-07-02,81.2,state board,2008,79.9,state board,64,2,B.Tech/B.E.,instrumentation and control engineering,67.67,64,0,Uttar Pradesh,2013,395,565,645,-1.0,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,300000
471413,2013-07-01,2015-04-01 00:00:00,java software engineer,mumbai ,f,1991-12-24,85.0,delhi board,2009,88.0,all india board,57,2,B.Tech/B.E.,information technology,85.0,57,0,Haryana,2013,495,445,605,0.765673581234011,485,-1,-1,-1,-1,-1,-1,-1.9629,-2.1903,-2.775,0.4148,-0.4455,480000
1088423,2014-06-01,present,software developer,Hyderabad,f,1992-08-09,90.0,state board,2009,82.1,state board,2998,2,B.Tech/B.E.,computer science & engineering,85.0,2998,0,Telangana,2014,640,530,705,0.486747008438193,615,-1,376,-1,-1,-1,-1,0.99,0.7119,-0.1437,-1.1218,0.8637,550000
1066680,2014-08-01,present,system engineer,-1,m,1991-09-12,86.4,cbse,2009,86.2,cbse,1906,2,B.Tech/B.E.,electronics and communication engineering,81.4,1906,1,West Bengal,2014,720,630,750,0.338786347219528,485,292,-1,-1,-1,228,-1,1.2772,1.0449,0.7785,-1.2486,0.6721,325000
407672,2012-09-01,present,software quality assurance analyst,Bangalore ,m,1990-09-30,84.13,0,2008,77.0,0,3801,2,B.Tech/B.E.,information technology,75.2,3801,0,Karnataka,2012,385,515,465,0.525922584252055,415,-1,-1,-1,-1,-1,-1,0.1623,0.9688,1.1074,0.4442,-0.1295,405000
205633,2011-09-01,present,system engineer,Kolkata,m,1988-05-25,81.7,hse,2005,75.8,chse,5508,2,B.Tech/B.E.,computer engineering,78.7,5508,0,Orissa,2011,475,245,485,0.735795709224656,475,-1,-1,-1,-1,-1,-1,-1.3447,-1.3713,-0.4891,0.1798,1.2923,500000
924541,2014-10-01,2015-03-01 00:00:00,trainee engineer,Bangalore,f,1992-02-25,86.0,cbse,2010,89.0,cbse,429,2,B.Tech/B.E.,computer science & engineering,73.9,429,0,Uttar Pradesh,2014,520,570,620,0.953899775079926,425,-1,530,-1,-1,-1,-1,1.2772,0.0459,0.6248,-1.3753,0.6721,210000
512353,2013-06-01,present,jr. software engineer,Nagpur,m,1991-10-25,66.15,state board,2009,54.0,state board,3603,2,B.Tech/B.E.,computer science & engineering,66.0,3603,0,Maharashtra,2013,360,495,280,0.793580614548506,495,-1,-1,-1,-1,-1,-1,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934,400000
1136577,2014-08-01,present,software developer,Bangalore,m,1991-05-22,79.29,icse,2009,68.67,cbse,5298,2,B.Tech/B.E.,computer science & engineering,76.0,5298,0,Tamil Nadu,2013,545,505,595,0.356536487724475,555,-1,346,-1,-1,-1,-1,0.2718,0.7119,0.3174,-0.1076,1.4386,360000
781327,2013-10-01,2015-04-01 00:00:00,database developer,Gurgaon,m,1987-11-21,60.0,state board,2006,50.0,state board,11013,2,B.Tech/B.E.,computer science & engineering,69.94,11013,0,Orissa,2013,240,340,430,0.143256541032196,295,-1,-1,-1,-1,-1,-1,-1.8825,-2.2851,-0.2974,-0.2344,-0.6692,240000
764522,2014-11-01,present,android developer,New Delhi,f,1992-01-14,58.4,cbse,2008,64.8,cbse,85,2,MCA,computer application,80.0,85,0,Haryana,2014,440,415,554,0.793580614548506,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543,120000
203323,2010-04-01,present,lead engineer,Bangalore,m,1986-11-03,61.0,0,2003,59.0,0,3716,2,B.Tech/B.E.,information technology,63.0,3716,1,Karnataka,2011,355,565,495,0.930370607202691,565,-1,-1,-1,-1,-1,-1,-0.880999999999999,0.6568,0.672,1.4724,0.3444,430000
267354,2012-02-01,2013-10-01 00:00:00,quality analyst,Noida,m,1988-08-05,50.0,board of school education harayana,2008,64.0,state board of technical education harayana,7564,2,B.Tech/B.E.,electronics and communication engineering,70.0,7564,0,Haryana,2011,345,365,445,0.538386892985096,-1,333,-1,-1,-1,-1,-1,-0.4173,-1.3713,0.9042,1.5578,0.3444,120000
839626,2014-07-01,present,software engineer,-1,f,1991-04-10,67.06,state board,2008,70.67,state board,13271,2,B.Tech/B.E.,computer engineering,55.5,13271,1,Maharashtra,2012,440,440,385,0.144789889482462,435,-1,284,-1,-1,-1,-1,1.1336,-0.2871,-0.1437,0.1459,0.2889,120000
1169332,2014-09-01,2015-03-01 00:00:00,software developer,pune ,f,1990-03-09,67.0,cbse,2008,61.0,cbse,16664,2,B.Tech/B.E.,computer science & engineering,75.0,16664,0,Chhattisgarh,2012,370,410,320,0.488347976782714,405,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,-0.9122,-0.6147,-0.6692,120000
669692,2014-10-01,2015-02-01 00:00:00,assistant manager,kolkata,m,1992-05-04,73.0,state board,2009,71.0,state board,9699,2,B.Tech/B.E.,information technology,61.0,9699,1,Rajasthan,2013,180,365,310,0.0745462652358558,255,433,-1,313,-1,-1,322,-2.0262,-1.9521,-2.6028,0.0192,-2.5853,600000
48029,2010-12-01,present,senior software engineer,Jaipur,m,1988-12-20,86.17,rbse,2006,78.6,cbse,2857,1,B.Tech/B.E.,computer engineering,73.34,2857,1,Rajasthan,2010,505,495,695,0.987207085890868,645,-1,-1,-1,-1,-1,-1,-1.4992,0.5008,0.2366,0.6498,0.6603,500000
1268344,2014-08-01,2015-04-01 00:00:00,process engineer,Mumbai,m,1990-03-10,78.0,icse,2009,75.0,cbse,7765,2,B.Tech/B.E.,mechanical engineering,73.0,7765,0,Uttar Pradesh,2014,630,555,570,0.0669607065028304,-1,-1,-1,253,-1,-1,-1,1.7081,-0.1206,0.01,-1.7556,0.2889,240000
1274612,2012-09-01,2014-09-01 00:00:00,system administrator,Gurgaon,m,1989-09-17,71.8,cbse,2007,68.2,cbse,267,2,B.Tech/B.E.,electronics and communication engineering,76.5,267,0,Punjab,2012,615,590,585,-1.0,485,-1,-1,-1,-1,-1,-1,-0.159,-0.7866,-0.7585,0.1459,-2.0105,200000
230553,2011-11-01,2012-05-01 00:00:00,desktop support analyst,Noida,m,1992-05-01,66.66,u p board,2005,80.4,u p board,64,2,B.Tech/B.E.,information technology,64.29,64,0,Uttar Pradesh,2011,525,505,575,0.901489571371033,545,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.1727,-0.1295,80000
1259836,2014-12-01,present,software engineer,Chennai,m,1992-02-26,85.0,state board,2009,81.0,state board,1906,2,B.Tech/B.E.,computer science & engineering,76.7,1906,1,West Bengal,2013,455,530,440,0.622642915849938,455,-1,407,-1,-1,-1,-1,1.7081,0.8784,1.7007,0.1459,0.8637,330000
634352,2013-07-01,2015-04-01 00:00:00,software engineer,Noida,f,1990-04-04,83.6,cbse,2008,74.0,cbse,55,2,B.Tech/B.E.,information technology,71.0,55,0,Uttar Pradesh,2013,615,595,720,0.987207085890868,645,-1,-1,-1,-1,-1,-1,-0.7335,0.0459,0.6248,-0.6147,0.2889,450000
977034,2014-07-01,present,application engineer,noida,m,1990-06-18,61.69,state board,2008,60.66,state board,285,1,MCA,computer application,77.5,285,0,Punjab,2014,440,605,520,0.356536487724475,575,-1,346,-1,-1,-1,-1,0.5591,0.3789,0.6248,0.3995,-1.0524,240000
668869,2013-11-01,2015-04-01 00:00:00,software developer,Bangalore,m,1991-09-01,85.0,cbse,2009,82.0,cbse,6566,2,B.Tech/B.E.,electronics and communication engineering,81.0,6566,1,Karnataka,2013,730,525,690,0.694479327708463,465,366,-1,-1,-1,393,-1,0.99,0.2124,0.6248,0.2727,-1.0524,325000
915600,2014-06-01,2015-01-01 00:00:00,entry level management trainee,Mysore,m,1991-06-26,80.13,state board,2008,69.17,state board,5696,2,B.Tech/B.E.,computer science and technology,60.34,5696,0,Maharashtra,2012,590,440,385,0.996744486852253,475,-1,623,-1,-1,-1,-1,-0.5899,-0.6201,0.4711,-0.3612,-0.2859,215000
628753,2013-11-01,present,senior software engineer,-1,m,1991-12-22,82.5,cbse,2009,85.0,state board,11352,2,B.Tech/B.E.,information technology,75.0,11352,1,Tamil Nadu,2013,545,485,530,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.1282,-1.9521,-0.6048,0.653,0.6721,315000
1036215,2014-06-01,present,web developer,Hyderabad,m,1992-05-03,63.5,state board,2010,65.72,state board,5081,2,B.Tech/B.E.,computer science & engineering,60.0,5081,0,Andhra Pradesh,2014,430,460,320,0.23780283983757,355,-1,315,-1,-1,-1,-1,0.5591,1.0449,0.3174,-0.2344,0.6721,220000
955352,2014-06-01,present,telecom engineer,Noida,m,1991-12-08,64.0,cbse,2010,62.0,cbse,17244,2,B.Tech/B.E.,computer science & engineering,75.0,17244,0,Uttar Pradesh,2014,345,470,365,0.356536487724475,435,-1,346,-1,-1,-1,-1,-0.3027,-0.4536,-2.4491,1.0333,-0.2859,180000
449417,2012-04-01,2014-02-01 00:00:00,software developer,Ahmedabad,m,1988-01-01,76.0,"bse, odisha",2005,61.0,chse,2088,2,MCA,computer application,85.0,2088,0,Orissa,2012,464,475,575,0.960903087163164,595,-1,-1,-1,-1,-1,-1,-1.4992,-1.3713,-0.6343,0.1798,-1.1169,240000
1038837,2014-05-01,present,web developer,Howrah,m,1990-09-21,73.0,cbse,2008,76.0,cbse,10930,2,B.Tech/B.E.,information technology,74.0,10930,1,West Bengal,2013,465,570,415,0.356536487724475,575,-1,346,-1,-1,-1,-1,-1.5953,-0.1206,0.3174,0.2727,-1.4356,60000
309954,2014-12-01,2014-02-01 00:00:00,network engineer,Ahmedabad,m,1991-12-08,91.0,rajasthan board of secondary education,2008,83.0,rajasthan board of secondary education,5050,2,B.Tech/B.E.,computer engineering,71.0,5050,0,Rajasthan,2012,475,495,565,0.930370607202691,565,-1,-1,-1,-1,-1,-1,1.1283,0.6568,-0.344,-0.7603,-0.4455,165000
54289,2013-01-01,2014-03-01 00:00:00,web designer,Mysore,m,1986-09-27,65.0,cbse,2007,47.6,cbse,1753,2,MCA,computer application,63.0,1753,0,Karnataka,2013,415,365,475,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.2009,-0.7473,0.3817,0.5323,0.3444,180000
615097,2014-01-01,2014-07-01 00:00:00,web developer,Noida,m,1991-11-14,70.16,state board,2007,66.8,state board,272,2,MCA,computer application,69.7,272,0,Punjab,2014,275,485,530,0.486747008438193,475,-1,376,-1,-1,-1,-1,-0.4463,-1.1196,0.01,0.5262,-0.0943,150000
96613,2010-08-01,present,it engineer,Chandigarh,m,1988-10-07,74.6,cbse,2005,80.8,cbse,67,2,B.Tech/B.E.,electronics and communication engineering,72.45,67,0,Uttar Pradesh,2010,535,415,635,0.960603251997053,-1,466,-1,-1,-1,-1,-1,0.8192,0.3448,1.1074,-0.1727,1.4502,370000
542950,2013-11-01,2013-06-01 00:00:00,sales engineer,Gurgaon,m,1991-08-21,66.5,state board,2008,66.4,state board,172,2,B.Tech/B.E.,electrical engineering,66.0,172,0,Uttar Pradesh,2013,500,560,560,0.376059586651545,-1,300,-1,-1,-1,-1,-1,-0.5719,0.8351,0.2477,-0.6428,-0.4455,145000
781196,2014-06-01,2015-03-01 00:00:00,design engineer,Gurgaon,m,1991-02-09,78.4,cbse,2009,58.4,cbse,11013,2,B.Tech/B.E.,automobile/automotive engineering,76.5,11013,0,Orissa,2013,545,535,605,0.986525019020638,-1,-1,-1,580,-1,-1,-1,-0.3027,1.5444,0.3174,1.5404,0.8637,100000
38441,2011-01-01,2011-11-01 00:00:00,data analyst,Bangalore,m,1984-11-19,62.0,up board,2002,62.0,up board,395,2,MCA,computer application,72.02,395,0,Uttar Pradesh,2010,505,445,575,0.864685413370085,525,-1,-1,-1,-1,-1,-1,0.0464,0.2668,-1.7954,-0.6428,-1.2354,300000
1269557,2015-02-01,present,java developer,Pune,m,1990-07-30,52.93,state board,2008,64.0,state board,4793,2,B.Tech/B.E.,information technology,73.0,4793,0,Maharashtra,2014,325,375,370,0.911395278391328,495,-1,500,-1,-1,-1,-1,0.2718,-0.1206,0.3174,-1.8824,-0.4776,240000
512864,2012-06-01,present,program manager,Gurgaon,m,1990-09-10,82.0,council for indian school certificate examination,2008,81.0,council for indian school certificate examination,77,2,B.Tech/B.E.,electronics and electrical engineering,64.0,77,0,Uttar Pradesh,2012,625,585,530,0.376059586651545,-1,300,-1,-1,-1,-1,-1,0.7419,0.8128,-1.6502,-0.8778,-0.2875,500000
390353,2012-07-01,2015-04-01 00:00:00,product design engineer,-1,m,1990-04-14,78.0,kea,2008,69.0,kea,3717,2,B.Tech/B.E.,electronics and communication engineering,75.0,3717,1,Karnataka,2012,355,485,425,0.0587928000083534,325,200,-1,-1,-1,-1,-1,-0.2628,-0.5913,-0.1988,1.2374,-0.168999999999999,300000
1230200,2014-12-01,2015-04-01 00:00:00,associate software engineer,Bangalore,m,1990-07-12,65.0,state board,2008,65.4,state board,1887,1,B.Tech/B.E.,computer science & engineering,67.72,1887,0,Uttar Pradesh,2014,490,615,725,0.744758354008939,595,-1,438,-1,-1,-1,-1,-0.3027,-0.7866,-1.527,1.9207,-1.6273,300000
206976,2013-07-01,present,electrical field engineer,Varanasi,m,1990-03-02,70.2,0,2007,68.4,0,49,1,B.Tech/B.E.,electronics and electrical engineering,60.4,49,0,Uttar Pradesh,2011,544,415,504,0.0587928000083534,335,200,-1,-1,-1,-1,-1,-0.5719,-0.2793,0.672,-0.6428,-0.2875,510000
908780,2014-09-01,present,quality analyst,CHENNAI,f,1993-10-14,93.0,state board,2010,89.0,state board,8895,2,B.Tech/B.E.,information technology,83.0,8895,0,Tamil Nadu,2014,345,495,325,0.622642915849938,445,-1,407,-1,-1,-1,-1,-0.7335,0.0459,-0.1437,1.0333,-0.8608,150000
982729,2015-04-01,2015-04-01 00:00:00,test engineer,New Delhi,m,1993-02-24,53.4,cbse,2010,66.0,cbse,387,2,B.Tech/B.E.,information technology,60.62,387,0,Uttar Pradesh,2014,300,520,330,0.744758354008939,335,-1,438,-1,-1,-1,-1,-0.3027,0.2124,1.0859,1.1601,-0.4776,240000
385303,2013-01-01,present,noc engineer,mohali,m,1990-07-02,84.2,0,2008,78.6,0,100,2,B.Tech/B.E.,electronics and communication engineering,64.45,100,0,Haryana,2012,525,605,595,0.376059586651545,-1,300,-1,-1,-1,-1,-1,-2.272,0.2668,-0.9245,1.0024,0.6603,145000
355322,2013-07-01,present,computer faculty,Mainpuri,m,1991-06-03,71.5,uttar pradesh,2007,60.0,cbse,81,2,B.Tech/B.E.,computer science & engineering,68.74,81,0,Uttar Pradesh,2012,415,355,455,0.245455659999829,335,-1,-1,-1,-1,-1,-1,0.51,1.1248,-0.7794,-0.2609,-0.6035,240000
730991,2014-11-01,present,network security engineer,Kolkata,m,1990-10-07,81.5,state board,2009,80.2,state board,11160,2,B.Tech/B.E.,computer science & engineering,82.0,11160,1,West Bengal,2013,430,510,415,0.342314899911815,365,-1,-1,-1,-1,-1,-1,0.7027,-1.1196,-0.1437,0.3995,0.2889,310000
326762,2013-03-01,2015-03-01 00:00:00,system engineer,Pune,m,1991-07-26,63.0,cbse,2008,66.0,cbse,3879,2,B.Tech/B.E.,computer engineering,65.55,3879,0,Madhya Pradesh,2012,435,465,465,0.704090412131314,465,-1,-1,-1,-1,-1,-1,-3.6631,-2.1513,0.0914,1.32552999999999,-1.2354,450000
125654,2011-04-01,present,application developer,Bangalore,m,1987-05-20,74.0,"board of secondary education,andhara pradesh",2004,86.1,"board of intermediate education,hyderabad",3694,2,MCA,computer application,76.0,3694,0,Andhra Pradesh,2010,405,385,585,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-1.8083,-0.5913,-0.9245,-0.0552,0.3444,380000
984121,2014-09-01,2015-03-01 00:00:00,associate software engineer,Bangalore ,f,1992-03-20,91.6,state board,2010,86.5,state board,2952,2,B.Tech/B.E.,electronics and communication engineering,80.2,2952,1,Karnataka,2014,465,510,570,0.783303536670298,445,388,-1,-1,-1,484,-1,-0.159,1.2114,0.4711,-1.6289,0.0973,300000
744799,2013-12-01,2015-05-01 00:00:00,java software engineer,Hyderabad,m,1992-06-01,87.5,state board,2009,89.9,state board,13899,2,B.Tech/B.E.,computer engineering,73.21,13899,0,Andhra Pradesh,2013,500,415,485,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.1282,0.8784,0.6248,-0.3612,-0.6692,300000
1048133,2013-10-01,2014-10-01 00:00:00,controls engineer,Hyderabad,m,1992-07-22,78.5,state board,2009,83.0,state board,16171,2,B.Tech/B.E.,electronics and communication engineering,77.72,16171,0,Telangana,2013,350,470,405,0.207392169717661,355,260,-1,-1,-1,-1,-1,1.7081,0.7119,0.6248,-1.3753,0.6721,200000
1094787,2014-09-01,present,customer service representative,Kolkata,m,1992-02-09,79.5,state board,2009,63.2,state board,7814,2,B.Tech/B.E.,electronics and communication engineering,63.3,7814,0,Orissa,2014,615,425,440,0.493596387301038,405,324,-1,-1,-1,452,-1,-0.3027,1.0449,1.3933,0.1459,0.8637,170000
661812,2013-07-01,2014-06-01 00:00:00,software engineer,-1,f,1991-09-23,71.0,wbbse,2009,68.0,wbchse,13040,2,B.Tech/B.E.,computer science & engineering,81.4,13040,1,West Bengal,2013,345,570,220,0.843123726665742,515,-1,-1,-1,-1,-1,-1,0.2718,0.3789,0.6248,-1.3753,-0.6692,95000
818701,2014-05-01,present,programmer analyst,Chennai,m,1989-12-15,66.0,state board,2006,61.0,state board,9508,2,B.Tech/B.E.,computer science & engineering,72.04,9508,0,Uttar Pradesh,2012,640,500,545,0.953899775079926,464,-1,530,-1,-1,-1,-1,0.5591,1.0449,-0.1437,-0.6147,-0.8608,335000
1063653,2014-01-01,2014-04-01 00:00:00,software engineer,Gurgaon,m,1991-11-14,74.0,cbse,2009,63.0,cbse,14278,2,B.Tech/B.E.,computer science & engineering,72.0,14278,0,Haryana,2013,490,530,370,0.0409993103614119,405,-1,223,-1,-1,-1,-1,-1.5953,0.5454,-0.7585,0.5262,-0.6692,110000
189121,2011-12-01,2015-01-01 00:00:00,telecom engineer,-1,m,1990-03-04,91.0,matriculation board,2007,90.91,hisher seconadry examination(state board),4042,2,B.Tech/B.E.,electronics and communication engineering,83.2,4042,0,Tamil Nadu,2011,565,515,575,0.229481754911755,325,266,-1,-1,-1,-1,-1,0.6646,1.1248,1.5428,-0.4078,0.3444,450000
640037,2013-08-01,2015-05-01 00:00:00,test engineer,Bangalore,f,1991-06-22,89.44,state board,2009,75.33,state board,4569,2,B.Tech/B.E.,computer science & engineering,68.69,4569,0,Karnataka,2013,500,425,385,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.8463,0.0459,1.7007,-0.4879,0.0973,200000
906284,2014-09-01,present,software test engineer,Noida,m,1993-07-26,76.0,cbse,2010,64.0,cbse,10971,2,B.Tech/B.E.,computer science & engineering,67.0,10971,0,Uttar Pradesh,2014,555,450,470,0.486747008438193,465,-1,376,-1,-1,-1,-1,-1.1644,1.2114,0.4711,-0.1076,-0.6692,310000
330544,2013-03-01,2014-06-01 00:00:00,mechanical design engineer,Nasikcity,m,1991-02-25,77.0,state board,2008,75.0,state board,9837,2,B.Tech/B.E.,mechanical engineering,65.42,9837,1,Telangana,2012,425,415,375,0.0684457505037512,-1,-1,-1,254,-1,-1,-1,1.4374,1.1248,1.2525,0.53233,0.4234,200000
643957,2014-04-01,present,research analyst,-1,m,1990-12-22,63.0,cbse,2009,74.0,cbse,462,2,B.Tech/B.E.,information science engineering,57.0,462,1,Karnataka,2013,545,500,455,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-1.4517,-2.1186,-0.6048,0.9066,-1.6273,240000
335906,2013-05-01,present,software engineer,Bangalore,f,1991-05-24,90.33,board of secondary education - andhra pradesh,2008,88.6,"board fo intermediate education, ap",1141,2,B.Tech/B.E.,computer engineering,69.55,1141,0,Andhra Pradesh,2012,725,505,415,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.51,1.4368,-0.0537,-1.34787,0.8973,300000
657409,2014-01-01,2015-01-01 00:00:00,application engineer,Trichy,m,1992-01-08,76.5,state board,2009,84.0,state board,11447,2,B.Tech/B.E.,mechanical engineering,87.2,11447,0,Tamil Nadu,2013,380,440,385,0.414337426422751,-1,-1,-1,366,-1,-1,-1,-0.3027,-0.2871,0.01,0.0192,-0.6692,75000
271549,2012-05-01,2014-11-01 00:00:00,software engineer,Bangalore,m,1989-02-26,70.0,mp,2007,60.0,cbse,1618,2,B.Tech/B.E.,computer engineering,64.3,1618,0,Madhya Pradesh,2011,645,465,575,0.525922584252055,415,-1,-1,-1,-1,-1,-1,-0.4173,-1.8393,-0.344,1.1199,0.1864,330000
964017,2014-05-01,2014-10-01 00:00:00,ui developer,-1,m,1993-02-14,78.0,state board,2010,87.1,state board,1428,2,B.Tech/B.E.,information technology,65.0,1428,1,Telangana,2014,430,570,615,0.744758354008939,525,-1,438,-1,-1,-1,-1,-1.308,-1.1196,0.4711,0.0192,0.6721,140000
1066577,2014-08-01,present,system engineer,Pune,m,1992-10-18,89.5,state board,2010,73.4,state board,1906,2,B.Tech/B.E.,computer science & engineering,70.06,1906,1,West Bengal,2014,700,505,585,0.486747008438193,485,-1,376,-1,-1,-1,-1,0.2718,0.0459,-1.0659,-2.136,-1.244,320000
87319,2010-10-01,2011-09-01 00:00:00,get,Bhopal,m,1986-10-27,56.4,0,2006,72.0,0,403,2,B.Tech/B.E.,mechanical engineering,64.0,403,0,Madhya Pradesh,2010,305,395,455,0.654107474545933,165,-1,-1,420,-1,-1,-1,0.2009,-0.9033,0.3817,0.2973,0.3444,1210000
962441,2014-07-01,2015-04-01 00:00:00,graduate engineer trainee,Jamnagar,m,1992-08-10,88.67,state board,2009,87.69,state board,436,1,B.Tech/B.E.,chemical engineering,79.65,436,0,Uttarakhand,2014,545,645,735,0.879915203272648,-1,-1,-1,-1,-1,-1,-1,-0.7335,1.5444,-0.1437,-2.136,0.6721,700000
335296,2013-12-01,2013-05-01 00:00:00,technical support engineer,Noida,m,1989-08-17,58.33,up,2007,73.33,up,198,2,B.Tech/B.E.,computer science & engineering,71.97,198,0,Uttar Pradesh,2012,395,325,585,0.744758354008939,395,-1,438,-1,-1,-1,-1,0.8192,0.5008,0.2366,-0.05527,0.6603,120000
833277,2014-09-01,2015-03-01 00:00:00,website developer/tester,New Delhi,m,1991-02-28,64.0,cbse,2009,66.0,cbse,382,2,B.Tech/B.E.,information technology,69.2,382,0,Uttar Pradesh,2014,465,390,355,0.356536487724475,355,-1,346,-1,-1,-1,-1,-0.0154,-0.2871,0.3174,0.1459,0.0973,200000
239756,2012-01-01,2013-01-01 00:00:00,system engineer,Bangalore,m,1989-04-10,85.92,karnataka,2007,79.87,karnataka state,1866,2,B.Tech/B.E.,computer engineering,71.07,1866,1,Karnataka,2011,495,565,454,0.968237495890543,605,-1,-1,-1,-1,-1,-1,0.0464,-0.1232,-0.4891,0.2973,0.9763,315000
555652,2013-08-01,2015-03-01 00:00:00,project engineer,Bangalore,m,1990-11-14,88.8,cbse,2009,84.67,state board,1866,2,B.Tech/B.E.,electronics and electrical engineering,70.0,1866,1,Karnataka,2013,675,605,620,0.985461394326131,515,500,-1,-1,-1,-1,-1,-0.0154,1.0449,0.4711,1.0333,1.0554,305000
